TimeStamp,"Average  Wind Speed
(m/s)","Average  Wind Dirction
(deg)","Average Active Power
(MW)","Forecasted Power 
(kW)"
8/4/21 0:00,12.4433,187.5400,101.5131,101.8180
8/4/21 0:10,12.5600,188.4800,101.5809,101.8841
8/4/21 0:20,12.6700,188.2733,101.6428,101.9067
8/4/21 0:30,12.6600,188.1600,101.6036,101.9682
8/4/21 0:40,12.6033,188.3867,101.5268,101.9917
8/4/21 0:50,12.6067,188.9800,101.5982,102.0454
8/4/21 1:00,12.9233,188.2633,101.6836,101.9860
8/4/21 1:10,12.7967,186.9267,101.6826,102.0338
8/4/21 1:20,12.3100,187.9633,101.4593,102.0191
8/4/21 1:30,12.4567,189.4833,101.4909,102.0683
8/4/21 1:40,12.8267,189.4400,101.7237,102.0144
8/4/21 1:50,12.7467,188.7033,101.6737,102.0634
8/4/21 2:00,12.4633,189.9000,101.5636,102.0467
8/4/21 2:10,12.3100,191.6867,101.4056,102.0973
8/4/21 2:20,12.1567,192.4567,101.1981,102.1417
8/4/21 2:30,11.9267,193.3700,101.0304,101.9355
8/4/21 2:40,11.7000,193.1367,100.9344,101.6331
8/4/21 2:50,11.7067,193.8300,100.9678,101.6675
8/4/21 3:00,11.5267,195.2933,100.5798,101.6877
